Builder,Pedal,Type
Baroni Lab,Warp Drive,Overdrive
Barge Concepts,BP-1,Distortion
Barge Concepts,BP-1,Fuzz
Barge Concepts,BP-1,Overdrive
Bardic Audio Devices,HM Demon,Distortion
Bardic Audio Devices,The Beast,Overdrive
Bardic Audio Devices,The Beast,Distortion
Bardic Audio Devices,The Beast,Fuzz
BearFoot FX,Arctic White Fuzz,Fuzz
BearFoot FX,BlueBerry Bass Overdrive,Overdrive
BearFoot FX,Bone Bender MKI Fuzz,Fuzz
BearFoot FX,Burgundy BossHorn Fuzz,Fuzz
BearFoot FX,Candy Apple Fuzz,Fuzz
BearFoot FX,Dyna Red Distortion,Distortion
BearFoot FX,Emerald Green Distortion Machine,Distortion
BearFoot FX,Emerald Green Overdrive,Overdrive
BearFoot FX,Honey Bee Overdrive,Overdrive
BearFoot FX,Honey Bee Overdrive Plus,Overdrive
BearFoot FX,Honey Beest,Overdrive
BearFoot FX,Pink Purple Fuzz,Fuzz
BearFoot FX,Silver Bee Overdrive,Overdrive
BearFoot FX,Sparkling Yellow Overdrive,Overdrive
BearFoot FX,Über Bee Overdrive,Overdrive
BECOS FX,Ziffer Overdrive,Overdrive
Beta Aivin,BOD-1 Bass Overdrive,Overdrive
Beta Aivin,BOD-2 Bass Overdrive,Overdrive
BFFX Boutique Pedals,Demon D,Overdrive
BFFX Boutique Pedals,Kairen,Overdrive
BFFX Boutique Pedals,Sublime,Overdrive
BFFX Boutique Pedals,Guitarlab1,Overdrive
BFFX Boutique Pedals,Guitarlab1,Distortion
Bias,BDS-1 Distortion,Distortion
Bias,Bias Distortion,Distortion
Bias,Bias Over Drive,Overdrive
Big Bite Fx,Big Bite,Overdrive
Big Bite Fx,Big Bite,Distortion
Big Ear NYC,The LOAF Fuzz,Fuzz
Big Ear NYC,Slice Of Pie,Fuzz
Big Ear NYC,Woodcutter,Distortion
Big Ear NYC,Black Betty,Fuzz
Big Ear NYC,Frank,Overdrive
Big Game Pedals,Solace State,Distortion
Big Game Pedals,Bedlam Drive III,Overdrive
Big Game Pedals,Nothing Is Dead Fuzz,Fuzz
Big Game Pedals,FY-2 Fuzz,Fuzz
Big Game Pedals,Everything is Alive - Modulated Resonant Fuzz,Fuzz
Big Lloyde,Phat Axx,Overdrive
Big Lloyde,Phat Axx,Distortion
Big Lloyde,Overdose,Distortion
Big Monk Electronic Device Co.,The Pompeii,Fuzz
Big Monk Electronic Device Co.,The Pompeii,Distortion
Big Monk Electronic Device Co.,Monk Boost,Overdrive
Big Monk Electronic Device Co.,Monk Boost,Distortion
Big Tone Music Brewery,Anthology Fuzz,Fuzz
Big Tone Music Brewery,BTMB Overdrive,Overdrive
Big Tone Music Brewery,Classic Overdrive+,Overdrive
Big Tone Music Brewery,Germanium Fuzz Master,Fuzz
Big Tone Music Brewery,Germanium FuzzBender,Fuzz
Big Tone Music Brewery,MOSFET Overdrive & Boost,Overdrive
Big Tone Music Brewery,Parametric Overdrive,Overdrive
Big Tone Music Brewery,Royal Beaver,Fuzz
Big Tone Music Brewery,Royal Beaver,Overdrive
Big Tone Music Brewery,Royal Beaver,Distortion
Big Tone Music Brewery,Six Of Swords,Fuzz
Big Tone Music Brewery,Six Of Swords,Overdrive
Big Tone Music Brewery,Classic Distortion,Distortion
Big White Monkey Amps,Howler,Distortion
Big White Monkey Amps,Spider 808,Overdrive
Bigfoot Engineering,Bigfoot King Fuzz Mini,Fuzz
Bigfoot Engineering,Bigfoot King Fuzz,Distortion
Bigfoot Engineering,Bigfoot King Fuzz,Fuzz
Bigfoot Engineering,Bigfoot King Fuzz XL,Overdrive
Bigfoot Engineering,Bigfoot King Fuzz XL,Distortion
Bigfoot Engineering,Anniversary King Fuzz,Fuzz
Bigfoot Engineering,Bigfoot 15th Anniversary Fuzz,Fuzz
Bigfoot Engineering,Bigfoot Germanium EQ Fuzz,Fuzz
Bigfoot Engineering,Bigfoot Germanium EQ Drive,Overdrive
Bigfoot Engineering,Bigfoot Germanium Fuzz (+Buffer),Fuzz
Bigfoot Engineering,Bigfoot Germanium Fuzz,Fuzz
Bigfoot F.X.,Dynamic Distortion Device,Distortion
Bigfoot F.X.,Fuzz Hog,Fuzz
Bigfoot F.X.,Spaghetti Western Fuzz,Fuzz
Bigfoot F.X.,The Humongous Box,Distortion
Bigfoot F.X.,The Humongous Box,Fuzz
BigNoise Amplification,Dark Distortion,Distortion
BigNoise Amplification,Full Blast Overdrive,Overdrive
BigNoise Amplification,Bulls Eye Overdrive,Overdrive
Billionaire (by Danelectro),Trillion Dollar Fuzz,Fuzz
Biltworth,BW-1,Overdrive
Bispell Audio,Gleam,Fuzz
Bispell Audio,Proxy,Overdrive
Bispell Audio,Saxon,Overdrive
Bispell Audio,TOR,Overdrive
Bixonic,Axentrix A1,Distortion
Bixonic,Axentrix A1,Fuzz
Bixonic,Axentrix A1,Overdrive
Bixonic,Axentrix II,Distortion
Bixonic,Axentrix II,Fuzz
Bixonic,Axentrix II,Overdrive
Bixonic,EXP2000DR Clean & Drive,Overdrive
Biyang,BO-1 Bass Over Drive,Overdrive
Biyang,DS-1 Distortion,Distortion
Biyang,DS-3 Distortion,Distortion
Biyang,NM-2 New Metal,Distortion
Biyang,BL-8 Blue,Overdrive
Biyang,BL-12 Blues,Overdrive
Biyang,DS-7 Distortion,Distortion
Biyang,DS-8 Mouse,Distortion
Biyang,DS-9 Distortion,Distortion
Biyang,FZ-7 Fuzz,Fuzz
Biyang,Junky Drive,Overdrive
Biyang,Junky Drive,Distortion
Biyang,Metal-End,Distortion
Biyang,OD-7 Overdrive,Overdrive
Biyang,OD-8 X-Drive,Overdrive
Biyang,OTD-100 Distortion,Distortion
Biyang,Baby Boom DS-10 Max Distortion,Distortion
Biyang,Baby Boom FZ-10 Fuzz Star,Fuzz
Biyang,Baby Boom OD-19 Overdrive,Overdrive
Biyang,DS-12 Distortion,Distortion
Biyang,FZ-12 Fuzz,Fuzz
Biyang,OD-12 X-Drive,Overdrive
Bizarre Engineering,Violine,Overdrive
Black Arts Toneworks,Ritual,Fuzz
Black Arts Toneworks,Oath,Fuzz
Black CAT Amps,DJENTTONIC,Distortion
Black Cat Pedals,Bass Octave Fuzz,Fuzz
Black Cat Pedals,Bee Buzz Fuzz,Fuzz
Black Cat Pedals,D&S,Fuzz
Black Cat Pedals,D-II Distortion,Distortion
Black Cat Pedals,Monster K-Fuzz,Fuzz
Black Cat Pedals,Monster K-Fuzz Stompbox,Fuzz
Black Cat Pedals,N-Fuzz,Fuzz
Black Cat Pedals,OD-1 Freddy Fuzz,Fuzz
Black Cat Pedals,OD-1 Freddy Fuzz,Overdrive
Black Cat Pedals,OD-Boost,Overdrive
Black Cat Pedals,OD-Fuzz,Fuzz
Black Cat Pedals,OD-Fuzz,Overdrive
Black Cat Pedals,RGDP - Really Great Dirt Pedal,Distortion
Black Cat Pedals,RGDP - Really Great Dirt Pedal,Fuzz
Black Cat Pedals,RGDP - Really Great Dirt Pedal,Overdrive
Black Cat Pedals,Super Fuzz,Fuzz
Black Cat Pedals,Wee Buzz,Fuzz
Black Country Customs,BLACKHEATH,Distortion
Black Country Customs,BLACKHEATH,Overdrive
Black Country Customs,MONOLITH,Distortion
Black Country Customs,MONOLITH,Overdrive
Blackbox Music Electronics,Inferno,Fuzz
Blackstone Appliances,Mosfet Overdrive,Overdrive
Blakemore Effects,Mustang Overdrive,Overdrive
Blakemore Effects,Bi-Polar Octadrive,Overdrive
Blakemore Effects,Bi-Polar Octadrive,Fuzz
Blakemore Effects,Deus Ex Machina,Fuzz
BLAMMO! Electronics,TNYDUMBLE,Overdrive
BLAMMO! Electronics,Fuzz Detonator,Fuzz
BLAMMO! Electronics,Payola Drive,Overdrive
BLAMMO! Electronics,Deth Pedal,Distortion
BLAMMO! Electronics,Blues Blaster,Overdrive
BLAMMO! Electronics,Blues Blaster,Distortion
BLAMMO! Electronics,Skrambler,Fuzz
BLAMMO! Electronics,Buzzaround,Fuzz
BLAMMO! Electronics,SLOB,Fuzz
BLAMMO! Electronics,L.A. Square Face,Fuzz
BMF Effects,Rocket 88 Overdrive,Overdrive
BMF Effects,Purple Nurple Overdrive,Overdrive
BMF Effects,Sisyphuzz Silicon Fuzz,Fuzz
BMF Effects,The Godfather II Dual Overdrive,Overdrive
BMF Effects,The Godfather Overdrive,Overdrive
BMF Effects,The Great Wide Open Distortion,Distortion
BMF Effects,Velvet Hammer Overdrive,Overdrive
BMF Effects,Marc F'N Ford Overdrive/Boost,Overdrive
Bob Burt Cabinets & Pedals,Bob Burt AH-1 Allen Hinds Signature Distortion,Distortion
Bob Burt Cabinets & Pedals,Bob Burt AH-1 Allen Hinds Signature Distortion,Overdrive
Bob Burt Cabinets & Pedals,Bob Burt GR8T Distortion,Distortion
Bob Burt Cabinets & Pedals,Bob Burt Overdrive,Overdrive
Boo Instruments,TS808 Overdrive (TS O/D),Overdrive
Boo Instruments,KC Klon Centaur,Overdrive
Boo Instruments,BOO Overdrive,Overdrive
Bookworm Effects,BigWig Bass Driver,Fuzz
Bookworm Effects,BigWig Bass Driver,Overdrive
Boorocks,DUSH Distortion DS-1,Distortion
Boorocks,KUMI Distortion AK-1,Distortion
Boorocks,LEON Multi-Driver MD-1,Fuzz
Boorocks,LEON Multi-Driver MD-1,Overdrive
Boorocks,LEON Multi-Driver MD-1,Distortion
Boorocks,ZEAL Fuzz FZ-1,Fuzz
Boot-Leg Hand Made Effects,BLN-1.0 Blues#Nine,Overdrive
Boot-Leg Hand Made Effects,HZM-1.0 Hizumi,Distortion
Boot-Leg Hand Made Effects,HZM-1.0 Hizumi,Overdrive
Boot-Leg Hand Made Effects,HZM-1.2 Hizumi,Distortion
Boot-Leg Hand Made Effects,HZM-1.2 Hizumi,Overdrive
Boot-Leg Hand Made Effects,HZM-2.0 Hizumi Quattro Valvole,Distortion
Boot-Leg Hand Made Effects,HZM-2.0 Hizumi Quattro Valvole,Overdrive
Boot-Leg Hand Made Effects,JBK-1.0 Jaw Breaker,Overdrive
Boot-Leg Hand Made Effects,JZF-1.0 Jazz Fuzz,Fuzz
Boot-Leg Hand Made Effects,RRP-1.0 Rock'n Roll Party,Overdrive
Boot-Leg Hand Made Effects,RRP-2.0 Rock'n Roll Party,Overdrive
Boot-Leg Hand Made Effects,RRP-2.0 Rock'n Roll Party,Distortion
Bootlegger Guitar,Shifty's 8 Ball Boost Drive Analog 12AT7,Overdrive
Bootlegger Guitar,Tube Shooter Overdrive,Overdrive
Bootlegger Guitar,Zapped Up Yours Analog Tube Distortion,Distortion
Boulevard,BDT-10 Distortion,Distortion
Boulevard,BOD-10 Overdrive,Overdrive
Boulevard Effects,Darkship,Fuzz
Bouteek,Distorter - Preamp,Overdrive
Bouteek,Overdriver - Preamp,Overdrive
Bouteek,Twin Drive and Boost - Ultimate Drive with Fuzz Inject,Overdrive
Bouteek,Twin Drive and Boost - Ultimate Drive with Fuzz Inject,Fuzz
BoX,Distortion,Distortion
BR Tech,BR-1 Distortion,Distortion
BR Tech,Up Scream,Overdrive
Bowman Audio Endeavors,The Bowman Overdrive,Overdrive
Bowman Audio Endeavors,Bellyacher,Distortion
Bowman Audio Endeavors,Odious Fuzz Octave,Fuzz
Bowman Audio Endeavors,Satan's Fingers Fuzz,Fuzz
